itemId,inscriptionNumber,inscriptionId,contentType,output,imageUrl,Background,Body accessory,Eyes,Fur,Head,Mouth,Mouth accessory
582,15159,2d502c424e6d56f3eb35b65d4be8a92d34d46fbcb72a0aa3f98eca3523575303i0,image/png,38f0d390d5614e0fc23e0f7e1a5ab6f78131b864e3e0d1f3376ddb25744f2c30:1,https://cdn.doggy.market/content/2d502c424e6d56f3eb35b65d4be8a92d34d46fbcb72a0aa3f98eca3523575303i0,White,Red kimono,Blue glasses,Red,,Neutral,
588,15165,47ec021a0639d7cb25e19a2daa1f354c83089c5d753019d5295948bd4f4c7418i0,image/png,b2e9c2e3a0f0968a6fcfbd74020941aa320542a2feff73d49e36f74631d3a3ff:5,https://cdn.doggy.market/content/47ec021a0639d7cb25e19a2daa1f354c83089c5d753019d5295948bd4f4c7418i0,White,Blue collar,Laser eyes,Red,Crown,Smiling,Rick's drool
590,15167,838255a545425b15d07b34726b980c9476ec4cbda58cdaa97a289be6577d7d80i0,image/png,6169af648349b53f724a74b4f73163a4a0ca4b59e65c0f4d901e5fbe4f140434:1,https://cdn.doggy.market/content/838255a545425b15d07b34726b980c9476ec4cbda58cdaa97a289be6577d7d80i0,Brown,Blue collar,Doge eyes,Red,,Neutral,Teeth
602,15179,cebfa20f88060651222069125a3ba215f27c82d9596ad43b564d4653f6b4d5fbi0,image/png,7d3f8dc7e8ef1ba6b8574bd6640c8528fd0b3b7a9e663f9f614e0b11f9f348b1:1,https://cdn.doggy.market/content/cebfa20f88060651222069125a3ba215f27c82d9596ad43b564d4653f6b4d5fbi0,Fire,Heart,Doge eyes,Black n tan,Flower,Smiling,Tongue out
610,15187,1cda4fb8d7a15807b982ec1c2b31702147f194babdd133e18e93acd33b251b9bi0,image/png,1e3516421a1dee74f240f0724a1e57e97c324e56bf005b4fb774c56877bd47d8:1,https://cdn.doggy.market/content/1cda4fb8d7a15807b982ec1c2b31702147f194babdd133e18e93acd33b251b9bi0,Red,Black spiked collar,Naughty eyes,Red,Baseball cap blue,Smiling,
627,15210,9fe039ab351a9c067f3760f2087dee968f23654e4a3c5689e091a5d97bfbff6fi0,image/png,afbe5164fadf0b03860ff850b07dbd7a82cb2d7d31de3b48cb1f7a506c7b847e:0,https://cdn.doggy.market/content/9fe039ab351a9c067f3760f2087dee968f23654e4a3c5689e091a5d97bfbff6fi0,Gold,Red spiked collar,Happy eyes,Red,,Short,Cigar
650,15233,efcee974682e189dfc229bc2dd677306fd0a66d3434850f877319fa625fc273ei0,image/png,808f5561e5c360758f41da6692cbd0bd5e0bd050f8e0b37433aca26f92770a38:1,https://cdn.doggy.market/content/efcee974682e189dfc229bc2dd677306fd0a66d3434850f877319fa625fc273ei0,Sea,,Naughty eyes,Sesame,Baseball cap red,Smiling,Blunt
662,15247,ad39ebc41482bc6e083b6c654c38571b26d05c9a8452d04c427b9a6b52f90ab6i0,image/png,b9711bb4fee51090148f3682fc395ad56b0668da564eb02783b2e5f0203a7a37:5,https://cdn.doggy.market/content/ad39ebc41482bc6e083b6c654c38571b26d05c9a8452d04c427b9a6b52f90ab6i0,Gold,,Naughty eyes,Red,Hat,Neutral,Open mouth
672,15257,372320ea17a9df759d3dfbbc66721f7e6d11d8d5a7b28f68b692d4012a6ce571i0,image/png,e284462a99ad78ffa1088fa337f0ed68e62985695fd9516ebc7d15df157d0c01:0,https://cdn.doggy.market/content/372320ea17a9df759d3dfbbc66721f7e6d11d8d5a7b28f68b692d4012a6ce571i0,Blue,Heart,Black glasses,Sesame,Baseball cap blue,Neutral,
678,15263,72c54a5a98f4a8bd89a51afa5f470ba73ab1b334eb8dc93b4ed1c9e059c49f0di0,image/png,96ea74c9d339b857323d97383b660528735b7b4c926c15e3aaf832dc87cc781e:0,https://cdn.doggy.market/content/72c54a5a98f4a8bd89a51afa5f470ba73ab1b334eb8dc93b4ed1c9e059c49f0di0,Blue,Heart,Angry eyes,Black n tan,Miner hat,Neutral,
